NEON_Site,Latitude,Longitude,Elevation (m), Mean Temp (deg C),Mean Ann. Precip (mm),Mean Canopy Height (m),Beetles-Richness (July 2018),Mammal-Richness (July 2018),Bird-Richness (July 2018)
POSE,38.89332,-78.14678,244,13.0,1054, ,,,
PRLA,47.15909,-99.11388000000001,565,5.0,490, ,,,
PRPO,47.12999,-99.25055,579,5.0,490, ,,,
PRIN,33.37859,-97.78226,274,18.0,840, ,,,
PUUM,19.55309,-155.31731000000002,1685,13.0,2685, ,,,
REDB,40.78374,-111.79765,1742,9.5,713, ,,,
CUPE,18.11352,-66.98676,257,25.0,1168, ,,,
GUIL,18.1741,-66.79851,587,25.0,1168, ,,,
RMNP,40.275909999999996,-105.54592,2743,4.0,520,19,7.0,3.0,16.0
SJER,37.108779999999996,-119.73228,368,17.0,270,21,,,
SRER,31.91068,-110.83549,983,20.0,290,2,6.0,13.0,
SCBI,38.892920000000004,-78.1395,361,13.0,1054,35,22.0,,
SERC,38.89008,-76.56000999999999,15,14.0,1107,38,32.0,3.0,
SOAP,37.03337,-119.26218999999999,1160,10.0,1246,32,10.0,4.0,
STEI,45.50894,-89.58637,481,5.0,782,5.5,19.0,9.0,
SYCA,33.74906,-111.5069,727,21.0,350, ,,,
TALL,32.95046,-87.39327,135,17.0,1350,25,16.0,,
TECR,36.95528,-119.02698999999998,2011,7.0,941, ,,,
UKFS,39.04043,-95.19215,335,12.0,870,19,19.0,4.0,
TOOL,68.66109,-149.37046999999998,843,-4.0,331,0.3,13.0,5.0,19.0
TOOK,68.63069200000001,-149.610636,745,-4.0,331, ,,,
TREE,45.49369,-89.58570999999999,472,5.0,782,23,21.0,12.0,
UNDE,46.23388,-89.53725,518,3.0,854,24,13.0,12.0,
BIGC,37.058,-119.256,1197,7.0,941, ,,,
BARR,71.28241,-156.61936,6,-12.0,110,0.3,1.0,1.0,23.0
WALK,35.95947,-84.28041,334,15.3,1222, ,,,
WLOU,39.89137,-105.9154,3103,-0.3,758, ,,,
WREF,45.82049,-121.95191000000001,407,8.0,2530,50,10.0,10.0,
WOOD,47.12823,-99.24136,579,5.0,490,1,29.0,4.0,86.0
YELL,44.95348,-110.53913999999999,2116,0.0,509,14,22.0,8.0,
